Video,Second,L_C,L_A,R_C,R_A
AAKTSE1,1.337618824500786e-15,68.90421932718684,-224.4505242,108.07239767032877,534.1466716
AAKTSE1,2.106473030583867e-15,154.2465852058427,-312.3197992,-25.59737481,455.17732368808686
AAKTSE1,2.8753272366669473e-15,211.42783997338762,-374.8512964,-101.4471473,228.26686463066366
AAKTSE1,3.644181442750041e-15,189.82465029648753,-433.6750158,-68.00247532,71.52529446
AAKTSE1,4.413035648833121e-15,142.59034950847638,-454.8387353,-48.71113669,10.981502071372343
AAKTSE1,5.181889854916202e-15,115.91160427602128,-462.1180103,8.713535277462775,188.6143763472827
AAKTSE1,5.950744060999283e-15,121.86841459912117,-507.2095075,-6.866237201,336.03947284541493
AAKTSE1,6.7195982670823625e-15,134.52855825555505,-519.2010047,93.55732365365036,377.67568045465873
AAKTSE1,7.488452473165444e-15,157.9131464,-516.7158352,136.46755117507615,505.74188806390157
AAKTSE1,8.257306679248525e-15,189.80662334619987,-514.5417769,21.394445363169957,321.5714290064784
AAKTSE1,9.026160885331604e-15,210.76121144707875,-511.8588297,-22.09754934,114.2431921712772
AAKTSE1,9.795015091414686e-15,222.03246621462262,-507.6869935,110.07490040602354,492.4293998
AAKTSE1,-3.65E-15,176.61594320438957,-463.1784907,174.13512792745027,505.50338516754186
AAKTSE1,-2.88E-15,272.4005313052674,-325.9422102,105.83202211554412,331.0051483323406
AAKTSE1,-2.11E-15,275.04845273947933,-269.2903741,57.21336074808191,158.5791337193615
AAKTSE1,-1.34E-15,104.15637417369022,-257.1629824,55.49581049173068,178.02352314678728
AAKTSE1,-5.72E-16,56.23651783012379,-375.1422574,181.41603801315847,475.1026600489601
AAKTSE1,1.9728561271119155e-16,102.77888370877943,-375.1737546,163.6573766456954,529.2799788
AAKTSE1,9.661398187942722e-16,139.4768051429909,-353.757474,43.48871527823406,482.4439641563355
AAKTSE1,1.734994024877353e-15,139.34139324386877,-352.836749,-88.02327942,401.48794954335665
AAKTSE1,2.5038482309604336e-15,104.91820356696893,-320.6915795,121.64583698775368,770.0141571526004
AAKTSE1,3.2727024370435147e-15,60.80279166784664,-282.5141879,27.287175620291418,641.4992536507323
AAKTSE1,1.8252411358328602e-14,36.81071310205846,-190.8034629,102.98851425282922,838.9865724
AAKTSE1,4.810410849209688e-15,35.551967869602315,-213.2282934,57.46318621870044,812.8161133
AAKTSE1,5.579265055292769e-15,57.15655597048122,-244.8364573,53.46159555830962,908.5931290037157
AAKTSE1,6.3481192613758496e-15,145.6411440713591,-260.7668434,-102.2874698,547.6107507543725
AAKTSE1,7.11697346745893e-15,153.9512877277927,-267.6116739,-211.4516868,425.33695836361625
AAKTSE1,7.885827673542011e-15,96.74365360644889,-319.4409489,-202.1214593,407.9431659728591
AAKTSE1,1.5492545220241026e-15,123.9815750406598,-345.7880017,-49.9978984,669.0060402487688
AAKTSE1,2.318108728107183e-15,21.890607585981787,-321.5839433,-7.731004208,700.5544700802348
AAKTSE1,3.0869629341902637e-15,-48.19692553,-339.8843294,5.548112202021578,588.7751221339225
AAKTSE1,3.8558171402733436e-15,-80.70577177,-388.4347155,19.799450834559373,439.4857741876104
